"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","OB_SOURCE","STA_WX_IND","PAST_WX2","IND_FOR_PRECIP"
"1301709","2022-03-01T00:00:00","-8.00","6.97",,,"1","4","2","5",,,"11",,,,,,,,,"10106",,,"8",,,,,"9","288",,,,,,,,,,,,,"358","86","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,
"BATFR04","2022-03-01T00:00:00","-3.90","6.90",,,"1","6","2","5","7","2","1",,"220","1","40",,,,,"10098","8","6","8","284",,,"244","1","298",,,,,,,,,,,,,"358","36","798","172","5","1","2","1","111111","11AAA11A11AAA1",,"5",,,
"1301709","2022-03-01T01:00:00","-8.00","6.97",,,"1","4","2","5",,,"11",,,,,,,,,"10098",,,"8",,,,,"9","288",,,,,,,,,,,,,"358","86","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,
"BATFR04","2022-03-01T01:00:00","-3.80","6.70",,,"1","6","2","5","7","2","1",,"220",,"45",,,,,"10086","8","23","8","283",,,"247","1","297",,,,,,,,,,,,,"358","36","798","172","5","0",,"1","111111","11AAA11A11AAA1",,"5",,,
"1301709","2022-03-01T02:00:00","-8.00","6.97",,,"1","4","2","5",,,"11",,,,,,,,,"10092",,,"8",,,,,"9","288",,,,,,,,,,,,,"358","86","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,
"BATFR04","2022-03-01T02:00:00","-3.70","6.60",,,"1","6","2","5","7","2","1",,"210",,"45",,,,,"10084","6","21","8","283",,,"243","1","300",,,,,,,,,,,,,"358","36","798","172","5","0",,"1","111111","11AAA11A11AAA1",,"5",,,
"1301709","2022-03-01T03:00:00","-8.00","6.97",,,"1","4","2","5",,,"11",,,,,,,,,"10091",,,"8",,,,,"9","287",,,,,,,,,,,,,"358","86","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,
"BATFR04","2022-03-01T03:00:00","-3.60","6.50",,,"1","6","2","5","7","2","1",,"230",,"50",,,,,"10084","6","14","8","285",,,"245","1","300",,,,,,,,,,,,,"358","36","798","172","5","0",,"1","111111","11AAA11A11AAA1",,"5",,,
"1301709","2022-03-01T04:00:00","-8.00","6.97",,,"1","4","2","5",,,"11",,,,,,,,,"10091",,,"8",,,,,"9","288",,,,,,,,,,,,,"358","86","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,
"BATFR04","2022-03-01T04:00:00","-3.40","6.30",,,"1","6","2","5","7","2","1",,"230",,"35",,,,,"10086","5",,"8","284",,,"244","1","299",,,,,,,,,,,,,"358","36","798","172","5","0",,"1","111111","11AAA11A11AAA7",,"5",,,
"1301709","2022-03-01T05:00:00","-8.01","6.96",,,"1","4","2","5",,,"11",,,,,,,,,"10096",,,"8",,,,,"9","288",,,,,,,,,,,,,"358","86","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,
"BATFR04","2022-03-01T05:00:00","-3.30","6.20",,,"1","6","2","5","7","2","1",,"220",,"25",,,,,"10093","3","9","8","283",,,"243","1","298",,,,,,,,,,,,,"358","36","798","172","5","0",,"1","111111","11AAA11A11AAA1",,"5",,,
"1301709","2022-03-01T06:00:00","-8.01","6.96",,,"1","4","2","5",,,"11",,,,,,,,,"10100",,,"8",,,,,"9","288",,,,,,,,,,,,,"358","86","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,
"BATFR04","2022-03-01T06:00:00","-3.20","6.00",,,"1","6","2","5","7","2","1",,"270","1","20",,,,,"10094","1","10","8","284",,,"242","1","298",,,,,,,,,,,,,"358","36","798","172","5","1","2","2","111111","11AAA11A11AAA1",,"5",,,
"1301709","2022-03-01T07:00:00","-8.01","6.96",,,"1","4","2","5",,,"11",,,,,,,,,"10106",,,"8",,,,,"9","288",,,,,,,,,,,,,"358","86","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,
"BATFR04","2022-03-01T07:00:00","-3.10","5.90",,,"1","6","2","5","7","2","1",,"230",,"65",,,,,"10101","2","15","8","282",,,"244","1","291",,,,,,,,,,,,,"358","35","798","172","5","0",,"2","111111","11AAA11A11AAA1",,"5",,,
"1301709","2022-03-01T08:00:00","-8.00","6.97",,,"1","4","2","5",,,"11",,,,,,,,,"10111",,,"8",,,,,"9","289",,,,,,,,,,,,,"358","86","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,
"BATFR04","2022-03-01T08:00:00","-3.00","5.80",,,"1","6","2","5","7","2","1",,"230",,"70",,,,,"10107","3","14","8","283",,,"245","1","291",,,,,,,,,,,,,"358","35","798","172","5","0",,"2","113111","11AAA11A11AAA1",,"5",,,
"1301709","2022-03-01T09:00:00","-8.00","6.97",,,"1","4","2","5",,,"11",,,,,,,,,"10113",,,"8",,,,,"9","289",,,,,,,,,,,,,"358","86","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,
"BATFR04","2022-03-01T09:00:00","-2.90","5.60",,,"1","6","2","5","7","2","1",,"210",,"60",,,,,"10114","2","20","8","283",,,"245","1","292",,,,,,,,,,,,,"358","25","798","172","5","0",,"2","111111","11AAA11A11AAA1",,"5",,,
"1301709","2022-03-01T10:00:00","-8.01","6.97",,,"1","4","2","5",,,"11",,,,,,,,,"10112",,,"8",,,,,"9","290",,,,,,,,,,,,,"358","86","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,
"BATFR04","2022-03-01T10:00:00","-2.80","5.50",,,"1","6","2","5","7","2","1",,"220",,"50",,,,,"10110","0","9","8","283",,,"243","1","293",,,,,,,,,,,,,"358","25","798","172","5","0",,"2","111111","11AAA11A11AAA1",,"5",,,
"1301709","2022-03-01T11:00:00","-8.01","6.97",,,"1","4","2","5",,,"11",,,,,,,,,"10111",,,"8",,,,,"9","291",,,,,,,,,,,,,"358","86","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,
"BATFR04","2022-03-01T11:00:00","-2.60","5.30",,,"1","6","2","5","7","2","1",,"230",,"50",,,,,"10106","8","1","8","287",,,"238","1","295",,,,,,,,,,,,,"358","25","798","172","5","0",,"2","111111","11AAA11A11AAA1",,"5",,,
"1301709","2022-03-01T12:00:00","-8.01","6.97",,,"1","4","2","5",,,"11",,,,,,,,,"10105",,,"8",,,,,"9","292",,,,,,,,,,,,,"358","86","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,
"BATFR04","2022-03-01T12:00:00","-2.50","5.20",,,"1","6","2","5","7","2","1",,"240","1","50",,,,,"10098","8","16","8","287",,,"238","1","297",,,,,,,,,,,,,"358","25","798","172","5","1","2","2","111111","11AAA11A11AAA1",,"5",,,
"1301709","2022-03-01T13:00:00","-8.01","6.98",,,"1","4","2","5",,,"11",,,,,,,,,"10098",,,"8",,,,,"9","292",,,,,,,,,,,,,"358","86","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,
